skin_tone,hex,r,g,b,color_name
Deepest Skin,#EA807D,234,128,125,Salmon
Deepest Skin,#FB6A91,251,106,145,Pink
Deepest Skin,#0302CC,3,2,204,Navy
Deepest Skin,#6CE814,108,232,20,Lime
Deepest Skin,#8EDD77,142,221,119,Mint
Deepest Skin,#AD1A82,173,26,130,Plum
Deepest Skin,#893CF4,137,60,244,Purple
Deepest Skin,#642EE3,100,46,227,Purple
Deepest Skin,#EB4B0A,235,75,10,Orange
Deepest Skin,#D744C5,215,68,197,Pink
Deepest Skin,#DA1DF0,218,29,240,Violet
Deepest Skin,#3D7EE8,61,126,232,Blue
Deepest Skin,#27BDA3,39,189,163,Turquoise
Deepest Skin,#51A9E4,81,169,228,Turquoise
Deepest Skin,#D838DD,216,56,221,Pink
Deepest Skin,#F865B1,248,101,177,Pink
Deepest Skin,#914FE9,145,79,233,Purple
Deepest Skin,#E073D1,224,115,209,Pink
Deepest Skin,#AC1BE4,172,27,228,Purple
Deepest Skin,#7736FF,119,54,255,Purple
Deepest Skin,#E5B262,229,178,98,Tan
Deepest Skin,#B7CF22,183,207,34,Gold
Deepest Skin,#FC7219,252,114,25,Orange
Deepest Skin,#B9DA12,185,218,18,Lime
Deepest Skin,#DC21A0,220,33,160,Hot Pink
Deepest Skin,#2055FC,32,85,252,Blue
Deepest Skin,#24FA79,36,250,121,Turquoise
Deepest Skin,#CF7D28,207,125,40,Copper
Deepest Skin,#D47049,212,112,73,Copper
Deepest Skin,#0F9EF5,15,158,245,Blue
Deepest Skin,#B1C727,177,199,39,Gold
Deepest Skin,#1E1FC2,30,31,194,Navy
Deepest Skin,#B02E27,176,46,39,Brown
Deepest Skin,#38CCD8,56,204,216,Turquoise
Deepest Skin,#D7752B,215,117,43,Copper
Deepest Skin,#E52AD2,229,42,210,Hot Pink
Deepest Skin,#3DE29B,61,226,155,Turquoise
Deepest Skin,#E20E38,226,14,56,Red
Deepest Skin,#E356EB,227,86,235,Pink
Deepest Skin,#A9D22E,169,210,46,Gold
Medium Brown,#FF1C74,255,28,116,Hot Pink
Medium Brown,#4028A7,64,40,167,Indigo
Medium Brown,#BFC805,191,200,5,Lime
Medium Brown,#9F3B2D,159,59,45,Brown
Medium Brown,#C44FE8,196,79,232,Purple
Medium Brown,#4D96D6,77,150,214,Blue
Medium Brown,#39B678,57,182,120,Teal
Medium Brown,#2DFF04,45,255,4,Green
Medium Brown,#EA4541,234,69,65,Red
Medium Brown,#1DB1A7,29,177,167,Teal
Medium Brown,#EB2750,235,39,80,Red
Medium Brown,#30B672,48,182,114,Teal
Medium Brown,#86B43E,134,180,62,Gold
Medium Brown,#DF0425,223,4,37,Red
Medium Brown,#1CDA08,28,218,8,Green
Medium Brown,#DC44C6,220,68,198,Pink
Medium Brown,#288CF5,40,140,245,Blue
Medium Brown,#42AAB2,66,170,178,Turquoise
Medium Brown,#2EE97E,46,233,126,Turquoise
Medium Brown,#AD4DF1,173,77,241,Purple
Medium Brown,#3B38E8,59,56,232,Purple
Medium Brown,#D229EE,210,41,238,Purple
Medium Brown,#35C620,53,198,32,Green
Medium Brown,#820DE0,130,13,224,Violet
Medium Brown,#A63E5E,166,62,94,Plum
Medium Brown,#73309E,115,48,158,Plum
Medium Brown,#CDC304,205,195,4,Yellow
Medium Brown,#4355B4,67,85,180,Plum
Medium Brown,#55E29F,85,226,159,Turquoise
Medium Brown,#46BFDA,70,191,218,Turquoise
Medium Brown,#C64148,198,65,72,Red
Medium Brown,#D50847,213,8,71,Red
Medium Brown,#5F15C7,95,21,199,Purple
Medium Brown,#E16AC4,225,106,196,Pink
Medium Brown,#40BA81,64,186,129,Teal
Medium Brown,#E452CF,228,82,207,Pink
Medium Brown,#E52147,229,33,71,Red
Medium Brown,#6FC01D,111,192,29,Olive
Medium Brown,#F2707B,242,112,123,Salmon
Medium Brown,#9B2BC1,155,43,193,Purple
Light Fair,#BEDC85,190,220,133,Tan
Light Fair,#A5CD9E,165,205,158,Seafoam
Light Fair,#CDD5AC,205,213,172,Tan
Light Fair,#E3BAED,227,186,237,Lavender
Light Fair,#D2B2AB,210,178,171,Tan
Light Fair,#A3CEBF,163,206,191,Seafoam
Light Fair,#F3EBF0,243,235,240,Lavender
Light Fair,#A7D1E5,167,209,229,Sky Blue
Light Fair,#CAD692,202,214,146,Tan
Light Fair,#B8D36E,184,211,110,Tan
Light Fair,#D2CFE3,210,207,227,Lavender
Light Fair,#DFC4EC,223,196,236,Lavender
Light Fair,#BEE1A1,190,225,161,Seafoam
Light Fair,#CADDF1,202,221,241,Lavender
Light Fair,#C9E8E8,201,232,232,Lavender
Light Fair,#9CD0C0,156,208,192,Seafoam
Light Fair,#A2D69F,162,214,159,Seafoam
Light Fair,#E1E4EF,225,228,239,Lavender
Light Fair,#BAE0AD,186,224,173,Seafoam
Light Fair,#E6D0E6,230,208,230,Lavender
Light Fair,#DBC7E8,219,199,232,Lavender
Light Fair,#C0B9E4,192,185,228,Sky Blue
Light Fair,#EECCE1,238,204,225,Lavender
Light Fair,#B7ECC9,183,236,201,Seafoam
Light Fair,#BFC786,191,199,134,Tan
Light Fair,#D6C4AB,214,196,171,Tan
Light Fair,#D1C358,209,195,88,Gold
Light Fair,#D8B5A9,216,181,169,Tan
Light Fair,#DEE7C6,222,231,198,Beige
Light Fair,#A8C7E8,168,199,232,Sky Blue
Light Fair,#8BE089,139,224,137,Mint
Light Fair,#B7CCE1,183,204,225,Seafoam
Light Fair,#C4BAB9,196,186,185,Tan
Light Fair,#9BE290,155,226,144,Mint
Light Fair,#B4E5DE,180,229,222,Seafoam
Light Fair,#D7D9CD,215,217,205,Beige
Light Fair,#D3E3BB,211,227,187,Peach
Light Fair,#E8EDCA,232,237,202,Beige
Light Fair,#F3E1F6,243,225,246,Lavender
Light Fair,#D5CDB9,213,205,185,Peach
Pale,#8BD0D7,139,208,215,Sky Blue
Pale,#ABC6CA,171,198,202,Seafoam
Pale,#D5CCB0,213,204,176,Tan
Pale,#D4B2D3,212,178,211,Peach
Pale,#B0D8C7,176,216,199,Seafoam
Pale,#B8C688,184,198,136,Tan
Pale,#CFB2E0,207,178,224,Lavender
Pale,#BDCD6F,189,205,111,Tan
Pale,#D5D89A,213,216,154,Tan
Pale,#C4D695,196,214,149,Tan
Pale,#C5C4E4,197,196,228,Lavender
Pale,#B3D9DB,179,217,219,Seafoam
Pale,#D1B9D1,209,185,209,Peach
Pale,#BDD492,189,212,146,Tan
Pale,#DEDAE6,222,218,230,Lavender
Pale,#D5D8C6,213,216,198,Peach
Pale,#F6F4E4,246,244,228,Beige
Pale,#C9CA94,201,202,148,Tan
Pale,#CED3DE,206,211,222,Lavender
Pale,#D6B5CC,214,181,204,Peach
Pale,#BED685,190,214,133,Tan
